month,rcp,scenario,streamflow
October,rcp45,coolwet,370.537487
November,rcp45,coolwet,1103.675913
December,rcp45,coolwet,1951.844985
January,rcp45,coolwet,3559.326735
February,rcp45,coolwet,4078.34495
March,rcp45,coolwet,5188.817778
April,rcp45,coolwet,7027.598125
May,rcp45,coolwet,9363.663981
June,rcp45,coolwet,7199.954832
July,rcp45,coolwet,3007.934062
August,rcp45,coolwet,827.9400644
September,rcp45,coolwet,479.9926216
October,rcp45,warmdry,302.1203655
November,rcp45,warmdry,734.4944784
December,rcp45,warmdry,1224.493081
January,rcp45,warmdry,1688.114928
February,rcp45,warmdry,2163.767041
March,rcp45,warmdry,2869.387944
April,rcp45,warmdry,4311.349527
May,rcp45,warmdry,6011.032029
June,rcp45,warmdry,4761.320742
July,rcp45,warmdry,2287.633948
August,rcp45,warmdry,665.7885081
September,rcp45,warmdry,378.0061707
October,rcp45,avg,304.6965733
November,rcp45,avg,711.8623331
December,rcp45,avg,1409.688133
January,rcp45,avg,2203.101452
February,rcp45,avg,2616.628444
March,rcp45,avg,3569.176514
April,rcp45,avg,4930.151135
May,rcp45,avg,6896.996917
June,rcp45,avg,5068.239713
July,rcp45,avg,2313.353656
August,rcp45,avg,660.3588909
September,rcp45,avg,357.083504
October,rcp45,comp,306.5416267
November,rcp45,comp,680.9307535
December,rcp45,comp,1254.902393
January,rcp45,comp,1927.516745
February,rcp45,comp,2294.109748
March,rcp45,comp,2911.199313
April,rcp45,comp,3980.53452
May,rcp45,comp,5883.888399
June,rcp45,comp,4498.720825
July,rcp45,comp,1935.122364
August,rcp45,comp,579.2156486
September,rcp45,comp,341.2128085
October,rcp85,coolwet,358.3047918
November,rcp85,coolwet,1020.76752
December,rcp85,coolwet,1832.226454
January,rcp85,coolwet,3452.624408
February,rcp85,coolwet,3888.40701
March,rcp85,coolwet,5290.476024
April,rcp85,coolwet,6518.640965
May,rcp85,coolwet,8774.548883
June,rcp85,coolwet,6348.353751
July,rcp85,coolwet,2531.017036
August,rcp85,coolwet,747.7359434
September,rcp85,coolwet,433.9755987
October,rcp85,warmdry,256.3555226
November,rcp85,warmdry,584.265894
December,rcp85,warmdry,932.4212807
January,rcp85,warmdry,1531.888229
February,rcp85,warmdry,2185.175197
March,rcp85,warmdry,2660.875936
April,rcp85,warmdry,3992.413458
May,rcp85,warmdry,5891.552878
June,rcp85,warmdry,4247.120351
July,rcp85,warmdry,1761.458183
August,rcp85,warmdry,542.0322242
September,rcp85,warmdry,311.2356981
October,rcp85,avg,290.7639666
November,rcp85,avg,895.5088021
December,rcp85,avg,1917.437316
January,rcp85,avg,3083.235703
February,rcp85,avg,3679.813373
March,rcp85,avg,4543.775415
April,rcp85,avg,6195.924111
May,rcp85,avg,7737.976895
June,rcp85,avg,5315.481283
July,rcp85,avg,2191.171149
August,rcp85,avg,622.3793206
September,rcp85,avg,359.0654309
October,rcp85,comp,212.533736
November,rcp85,comp,480.2178548
December,rcp85,comp,931.1520704
January,rcp85,comp,1434.092659
February,rcp85,comp,2035.287091
March,rcp85,comp,2713.535211
April,rcp85,comp,3847.79991
May,rcp85,comp,5734.249495
June,rcp85,comp,4252.470938
July,rcp85,comp,1516.272363
August,rcp85,comp,383.3780565
September,rcp85,comp,208.7384617
