year,month,streamflow,,,,,,,,,,,,,,,,,
1995,October,,,,,,,,,,,,,,,,,,
1995,November,307.23,,,,,,,,,,,,,,,,,
1995,December,252.05,,,,,,,,,,,,,,,,,
1995,January,3150.10,,,,,,,,,,,,,,,,,
1995,February,3106.21,,,,,,,,,,,,,,,,,
1995,March,5760.40,,,,,,,,,,,,,,,,,
1995,April,5910.81,,,,,,,,,,,,,,,,,
1995,May,8418.43,,,,,,,,,,,,,,,,,
1995,June,11809.89,,,,,,,,,,,,,,,,,
1995,July,11300.11,,,,,,,,,,,,,,,,,
1995,August,4240.71,,,,,,,,,,,,,,,,,
1995,September,1921.70,,,,,,,,,,,,,,,,,
1996,October,1789.38,,,,,,,,,,,,,,,,,
1996,November,1198.22,,,,,,,,,,,,,,,,,
1996,December,1316.15,,,,,,,,,,,,,,,,,
1996,January,1432.79,,,,,,,,,,,,,,,,,
1996,February,3171.12,,,,,,,,,,,,,,,,,
1996,March,4701.70,,,,,,,,,,,,,,,,,
1996,April,4478.70,,,,,,,,,,,,,,,,,
1996,May,6632.48,,,,,,,,,,,,,,,,,
1996,June,6635.76,,,,,,,,,,,,,,,,,
1996,July,3369.58,,,,,,,,,,,,,,,,,
1996,August,2186.24,,,,,,,,,,,,,,,,,
1996,September,2059.15,,,,,,,,,,,,,,,,,
1997,October,758.68,,,,,,,,,,,,,,,,,
1997,November,1648.44,,,,,,,,,,,,,,,,,
1997,December,3765.17,,,,,,,,,,,,,,,,,
1997,January,9715.03,,,,,,,,,,,,,,,,,
1997,February,3396.61,,,,,,,,,,,,,,,,,
1997,March,4003.06,,,,,,,,,,,,,,,,,
1997,April,4172.00,,,,,,,,,,,,,,,,,
1997,May,6425.87,,,,,,,,,,,,,,,,,
1997,June,5269.90,,,,,,,,,,,,,,,,,
1997,July,2439.10,,,,,,,,,,,,,,,,,
1997,August,2097.62,,,,,,,,,,,,,,,,,
1997,September,2328.17,,,,,,,,,,,,,,,,,
1998,October,1343.45,,,,,,,,,,,,,,,,,
1998,November,1122.69,,,,,,,,,,,,,,,,,
1998,December,1106.21,,,,,,,,,,,,,,,,,
1998,January,1997.83,,,,,,,,,,,,,,,,,
1998,February,4303.19,,,,,,,,,,,,,,,,,
1998,March,4104.13,,,,,,,,,,,,,,,,,
1998,April,4414.86,,,,,,,,,,,,,,,,,
1998,May,4888.27,,,,,,,,,,,,,,,,,
1998,June,11873.66,,,,,,,,,,,,,,,,,
1998,July,10193.46,,,,,,,,,,,,,,,,,
1998,August,3140.30,,,,,,,,,,,,,,,,,
1998,September,2944.40,,,,,,,,,,,,,,,,,
1999,October,1321.73,,,,,,,,,,,,,,,,,
1999,November,1599.57,,,,,,,,,,,,,,,,,
1999,December,1849.90,,,,,,,,,,,,,,,,,
1999,January,1491.07,,,,,,,,,,,,,,,,,
1999,February,2108.88,,,,,,,,,,,,,,,,,
1999,March,1956.90,,,,,,,,,,,,,,,,,
1999,April,2667.96,,,,,,,,,,,,,,,,,
1999,May,3395.90,,,,,,,,,,,,,,,,,
1999,June,4194.23,,,,,,,,,,,,,,,,,
1999,July,2124.14,,,,,,,,,,,,,,,,,
1999,August,2340.33,,,,,,,,,,,,,,,,,
1999,September,2009.73,,,,,,,,,,,,,,,,,
2000,October,1095.76,,,,,,,,,,,,,,,,,
2000,November,640.55,,,,,,,,,,,,,,,,,
2000,December,767.79,,,,,,,,,,,,,,,,,
2000,January,963.76,,,,,,,,,,,,,,,,,
2000,February,2212.65,,,,,,,,,,,,,,,,,
2000,March,3567.04,,,,,,,,,,,,,,,,,
2000,April,3648.13,,,,,,,,,,,,,,,,,
2000,May,5070.16,,,,,,,,,,,,,,,,,
2000,June,4838.93,,,,,,,,,,,,,,,,,
2000,July,2473.06,,,,,,,,,,,,,,,,,
2000,August,1899.10,,,,,,,,,,,,,,,,,
2000,September,1329.77,,,,,,,,,,,,,,,,,
2001,October,1333.26,,,,,,,,,,,,,,,,,
2001,November,1251.47,,,,,,,,,,,,,,,,,
2001,December,502.58,,,,,,,,,,,,,,,,,
2001,January,603.71,,,,,,,,,,,,,,,,,
2001,February,604.14,,,,,,,,,,,,,,,,,
